Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Fold
RandomForest,Niger,2021,Max_CDD_days,11.0,-0.0041792931239572,0.0041792931239572,1
RandomForest,Niger,2021,Mean_Tmax_C,31.35107476635514,0.050681623893022464,0.050681623893022464,1
RandomForest,Niger,2021,Mean_Tmin_C,23.60140186915888,0.07547276027575231,0.07547276027575231,1
RandomForest,Niger,2021,Mean_RH_pct,77.9722429906542,0.027622660877608618,0.027622660877608618,1
RandomForest,Niger,2021,Mean_Solar_Radiation_MJ_m2_day,18.662196261682244,0.037343584220967264,0.037343584220967264,1
RandomForest,Niger,2021,Rainfall_Anomaly_Z_2000_2019,0.9555445973076616,0.022244449573995996,0.022244449573995996,1
RandomForest,Niger,2022,Seasonal_Rainfall_mm,1145.23,0.04642067089377551,0.04642067089377551,1
RandomForest,Niger,2022,Seasonal_GDD_C,3627.66,0.2642947966902226,0.2642947966902226,1
RandomForest,Niger,2022,Max_CDD_days,16.0,0.026618802508075492,0.026618802508075492,1
RandomForest,Niger,2022,Mean_Tmax_C,30.746028037383176,0.04524686518785857,0.04524686518785857,1
RandomForest,Niger,2022,Mean_Tmin_C,23.15733644859813,0.053309507725814546,0.053309507725814546,1
RandomForest,Niger,2022,Mean_RH_pct,80.00023364485979,0.03908055015792593,0.03908055015792593,1
